team,elo,strength
Spain,2211.399029512517,2211.501681364369
Argentina,2180.5245219610188,2188.2521902304634
France,2120.0944985958645,2146.1457088270763
England,2084.790188126,2105.0658175180115
Brazil,2058.808275858863,2067.8010846165826
Portugal,2037.3794205121999,2058.620723194518
Colombia,2056.019572773225,2043.3153604910833
Netherlands,2012.7632692802335,2033.1605888532101
Germany,2013.2956077467622,2017.3544022534338
Morocco,1994.3126265953128,2004.714765288155
Mexico,1979.0349878831287,1988.2200343642485
Croatia,1966.9171797664656,1988.1090561264773
Belgium,1952.7015993107361,1986.374009289583
Japan,1998.05063099843,1985.9973686101448
Ecuador,2019.0877885952068,1983.7242663530121
Uruguay,1966.5828096800108,1974.7276765450501
Italy,1928.8724643571973,1960.135464169667
Switzerland,1955.2335126995483,1958.5640669274064
Turkey,1968.423393160478,1937.7802401224192
Norway,1975.0717732170167,1932.872713260354
Denmark,1925.7239363895408,1931.208876655605
Senegal,1904.416840178104,1921.9970256568663
Iran,1902.4901231223048,1913.3143560190906
Australia,1902.8371571014866,1900.873600919735
Austria,1891.8129554403445,1899.1126715440894
United States,1852.355043490313,1893.5977882497345
Canada,1900.3540019702016,1890.8838681044786
South Korea,1881.7789194724487,1889.2778163069747
Paraguay,1909.8823486444132,1879.0631635678592
Yugoslavia,1863.0521218508563,1863.0521218508563
Nigeria,1882.4879685476776,1854.326640115839
Algeria,1869.960798777822,1851.030537932746
Panama,1845.2072876867994,1843.0958761120814
Russia,1844.7749510588499,1840.2091678571865
Ukraine,1825.9543785713506,1833.9472424181754
Scotland,1850.7440184420202,1832.501429444727
Egypt,1808.0831317187638,1813.6948785229852
Serbia,1801.9925782642608,1809.9891579678651
Basque Country,1808.4302973822073,1808.4302973822073
Uzbekistan,1830.9566995820783,1808.349680522687
Ivory Coast,1816.1736689556178,1807.9195993982116
Czech Republic,1806.0342452464465,1806.1360492466179
Venezuela,1821.6777902644467,1805.6511178178503
Greece,1804.6018377798207,1803.3274312135318
Jersey,1801.4797130383363,1801.4797130383363
Czechoslovakia,1797.7171368960337,1797.7171368960337
Sweden,1773.7872042750525,1791.4515128791872
Poland,1776.413702825747,1790.9167354475817
Chile,1799.6122950856534,1782.6313770529068
Hungary,1774.3776955275202,1781.3470003391876
Wales,1750.659222439657,1776.7112109884538
Peru,1766.590582784636,1768.48099749036
Costa Rica,1746.3977916472002,1758.178382252901
Slovakia,1729.4288018925822,1749.782265069417
Tunisia,1732.879782429328,1749.3285608998854
Jordan,1773.1995246025253,1747.8241974726127
Slovenia,1738.2497191302314,1746.5835646879423
Republic of Ireland,1764.898494972454,1744.0204289886385
Guernsey,1743.8662215900117,1743.8662215900117
DR Congo,1756.7004745641336,1741.5500019001202
Cameroon,1724.1389066395145,1734.2613400448686
Iraq,1735.9035351318732,1731.725828134906
Padania,1726.4838581206573,1726.4838581206573
German DR,1723.2360254687378,1723.2360254687378
Occitania,1722.4098194180094,1722.4098194180094
Romania,1700.7407932765536,1720.2916518491274
Mali,1702.8146645409145,1716.2250535895225
Iraqi Kurdistan,1716.1809506271263,1716.1809506271263
Northern Cyprus,1714.3035371018723,1714.3035371018723
Kosovo,1775.562406157023,1707.578628101648
Isle of Man,1705.661055463173,1705.661055463173
Saudi Arabia,1699.2024348818506,1705.5325093333201
Georgia,1715.6923079993858,1703.026754716064
Honduras,1706.2674614802731,1698.5887001223336
Bolivia,1725.2447327182447,1695.0973926090912
South Africa,1668.815228188278,1693.346246916521
New Zealand,1733.8808913539594,1685.4826400003335
