rank,team,points,confederation,code,fifa_name,ranking_date
1.0,Spain,1875.37,UEFA,ESP,Spain,2025-09-18
2.0,France,1870.92,UEFA,FRA,France,2025-09-18
3.0,Argentina,1870.32,CONMEBOL,ARG,Argentina,2025-09-18
4.0,England,1820.44,UEFA,ENG,England,2025-09-18
5.0,Portugal,1779.55,UEFA,POR,Portugal,2025-09-18
6.0,Brazil,1761.6,CONMEBOL,BRA,Brazil,2025-09-18
7.0,Netherlands,1754.17,UEFA,NED,Netherlands,2025-09-18
8.0,Belgium,1739.54,UEFA,BEL,Belgium,2025-09-18
9.0,Croatia,1714.2,UEFA,CRO,Croatia,2025-09-18
10.0,Italy,1710.06,UEFA,ITA,Italy,2025-09-18
11.0,Morocco,1706.27,CAF,MAR,Morocco,2025-09-18
12.0,Germany,1704.27,UEFA,GER,Germany,2025-09-18
13.0,Colombia,1692.1,CONMEBOL,COL,Colombia,2025-09-18
14.0,Mexico,1688.38,CONCACAF,MEX,Mexico,2025-09-18
15.0,Uruguay,1673.65,CONMEBOL,URU,Uruguay,2025-09-18
16.0,United States,1670.04,CONCACAF,USA,USA,2025-09-18
17.0,Switzerland,1648.3,UEFA,SUI,Switzerland,2025-09-18
18.0,Senegal,1645.23,CAF,SEN,Senegal,2025-09-18
19.0,Japan,1640.47,AFC,JPN,Japan,2025-09-18
20.0,Denmark,1627.64,UEFA,DEN,Denmark,2025-09-18
21.0,Iran,1622.61,AFC,IRN,IR Iran,2025-09-18
22.0,Austria,1601.86,UEFA,AUT,Austria,2025-09-18
23.0,South Korea,1593.19,AFC,KOR,Korea Republic,2025-09-18
24.0,Ecuador,1588.04,CONMEBOL,ECU,Ecuador,2025-09-18
25.0,Australia,1583.49,AFC,AUS,Australia,2025-09-18
26.0,Canada,1558.04,CONCACAF,CAN,Canada,2025-09-18
27.0,Turkey,1555.72,UEFA,TUR,Türkiye,2025-09-18
28.0,Ukraine,1543.06,UEFA,UKR,Ukraine,2025-09-18
29.0,Panama,1529.71,CONCACAF,PAN,Panama,2025-09-18
30.0,Wales,1529.09,UEFA,WAL,Wales,2025-09-18
31.0,Norway,1526.23,UEFA,NOR,Norway,2025-09-18
32.0,Sweden,1524.62,UEFA,SWE,Sweden,2025-09-18
33.0,Russia,1521.74,UEFA,RUS,Russia,2025-09-18
34.0,Serbia,1520.9,UEFA,SRB,Serbia,2025-09-18
35.0,Egypt,1519.18,CAF,EGY,Egypt,2025-09-18
36.0,Poland,1517.3,UEFA,POL,Poland,2025-09-18
37.0,Paraguay,1501.01,CONMEBOL,PAR,Paraguay,2025-09-18
38.0,Algeria,1500.74,CAF,ALG,Algeria,2025-09-18
39.0,Czech Republic,1500.29,UEFA,CZE,Czechia,2025-09-18
40.0,Greece,1494.72,UEFA,GRE,Greece,2025-09-18
41.0,Hungary,1492.18,UEFA,HUN,Hungary,2025-09-18
42.0,Slovakia,1491.87,UEFA,SVK,Slovakia,2025-09-18
43.0,Scotland,1485.08,UEFA,SCO,Scotland,2025-09-18
44.0,Ivory Coast,1483.9,CAF,CIV,Côte d'Ivoire,2025-09-18
45.0,Nigeria,1483.86,CAF,NGA,Nigeria,2025-09-18
46.0,Tunisia,1483.02,CAF,TUN,Tunisia,2025-09-18
47.0,Costa Rica,1481.13,CONCACAF,CRC,Costa Rica,2025-09-18
48.0,Peru,1469.31,CONMEBOL,PER,Peru,2025-09-18
49.0,Venezuela,1465.02,CONMEBOL,VEN,Venezuela,2025-09-18
50.0,Slovenia,1462.96,UEFA,SVN,Slovenia,2025-09-18
51.0,Romania,1462.85,UEFA,ROU,Romania,2025-09-18
52.0,Cameroon,1455.42,CAF,CMR,Cameroon,2025-09-18
53.0,Qatar,1453.65,AFC,QAT,Qatar,2025-09-18
54.0,Uzbekistan,1453.31,AFC,UZB,Uzbekistan,2025-09-18
55.0,South Africa,1448.67,CAF,RSA,South Africa,2025-09-18
56.0,Mali,1445.83,CAF,MLI,Mali,2025-09-18
57.0,Chile,1441.66,CONMEBOL,CHI,Chile,2025-09-18
58.0,Iraq,1422.2,AFC,IRQ,Iraq,2025-09-18
59.0,Saudi Arabia,1420.65,AFC,KSA,Saudi Arabia,2025-09-18
60.0,DR Congo,1407.6,CAF,COD,Congo DR,2025-09-18
61.0,Republic of Ireland,1397.52,UEFA,IRL,Republic of Ireland,2025-09-18
62.0,Jordan,1391.33,AFC,JOR,Jordan,2025-09-18
63.0,North Macedonia,1388.5,UEFA,MKD,North Macedonia,2025-09-18
64.0,Burkina Faso,1385.37,CAF,BFA,Burkina Faso,2025-09-18
65.0,Honduras,1383.98,CONCACAF,HON,Honduras,2025-09-18
66.0,Albania,1380.66,UEFA,ALB,Albania,2025-09-18
67.0,United Arab Emirates,1379.86,AFC,UAE,United Arab Emirates,2025-09-18
68.0,Georgia,1377.32,UEFA,GEO,Georgia,2025-09-18
69.0,Jamaica,1377.22,CONCACAF,JAM,Jamaica,2025-09-18
70.0,Cape Verde,1363.21,CAF,CPV,Cabo Verde,2025-09-18
71.0,Finland,1358.72,UEFA,FIN,Finland,2025-09-18
72.0,Northern Ireland,1355.98,UEFA,NIR,Northern Ireland,2025-09-18
73.0,Bosnia and Herzegovina,1344.25,UEFA,BIH,Bosnia and Herzegovina,2025-09-18
74.0,Iceland,1343.09,UEFA,ISL,Iceland,2025-09-18
75.0,Ghana,1340.84,CAF,GHA,Ghana,2025-09-18
76.0,Israel,1337.4,UEFA,ISR,Israel,2025-09-18
77.0,Bolivia,1332.24,CONMEBOL,BOL,Bolivia,2025-09-18
78.0,Oman,1320.34,AFC,OMA,Oman,2025-09-18
79.0,Gabon,1314.06,CAF,GAB,Gabon,2025-09-18
80.0,Montenegro,1314.05,UEFA,MNE,Montenegro,2025-09-18
81.0,Guinea,1299.49,CAF,GUI,Guinea,2025-09-18
82.0,Uganda,1287.61,CAF,UGA,Uganda,2025-09-18
83.0,New Zealand,1283.94,OFC,NZL,New Zealand,2025-09-18
84.0,Curaçao,1282.42,CONCACAF,CUW,Curaçao,2025-09-18
85.0,Zambia,1273.0,CAF,ZAM,Zambia,2025-09-18
86.0,Bulgaria,1271.52,UEFA,BUL,Bulgaria,2025-09-18
87.0,Haiti,1269.24,CONCACAF,HAI,Haiti,2025-09-18
88.0,Bahrain,1268.73,AFC,BHR,Bahrain,2025-09-18
89.0,Angola,1268.72,CAF,ANG,Angola,2025-09-18
90.0,El Salvador,1267.75,CONCACAF,SLV,El Salvador,2025-09-18
91.0,Kosovo,1262.1,UEFA,KOS,Kosovo,2025-09-18
92.0,Syria,1259.32,AFC,SYR,Syria,2025-09-18
93.0,Benin,1257.3,CAF,BEN,Benin,2025-09-18
94.0,China,1249.06,AFC,CHN,China PR,2025-09-18
95.0,Equatorial Guinea,1248.68,CAF,EQG,Equatorial Guinea,2025-09-18
96.0,Luxembourg,1242.61,UEFA,LUX,Luxembourg,2025-09-18
97.0,Mozambique,1234.04,CAF,MOZ,Mozambique,2025-09-18
98.0,Guatemala,1230.73,CONCACAF,GUA,Guatemala,2025-09-18
99.0,Palestine,1230.55,AFC,PLE,Palestine,2025-09-18
100.0,Belarus,1223.54,UEFA,BLR,Belarus,2025-09-18
101.0,Thailand,1222.2,AFC,THA,Thailand,2025-09-18
102.0,Trinidad and Tobago,1220.99,CONCACAF,TRI,Trinidad and Tobago,2025-09-18
103.0,Armenia,1219.55,UEFA,ARM,Armenia,2025-09-18
104.0,Tajikistan,1206.15,AFC,TJK,Tajikistan,2025-09-18
105.0,Comoros,1201.83,CAF,COM,Comoros,2025-09-18
106.0,Kyrgyzstan,1201.22,AFC,KGZ,Kyrgyz Republic,2025-09-18
107.0,Tanzania,1199.45,CAF,TAN,Tanzania,2025-09-18
108.0,Madagascar,1187.59,CAF,MAD,Madagascar,2025-09-18
109.0,Namibia,1183.8,CAF,NAM,Namibia,2025-09-18
110.0,Mauritania,1183.28,CAF,MTN,Mauritania,2025-09-18
111.0,Kenya,1181.64,CAF,KEN,Kenya,2025-09-18
112.0,Libya,1179.57,CAF,LBY,Libya,2025-09-18
113.0,Lebanon,1172.3,AFC,LBN,Lebanon,2025-09-18
114.0,Vietnam,1169.92,AFC,VIE,Vietnam,2025-09-18
115.0,Gambia,1165.93,CAF,GAM,The Gambia,2025-09-18
116.0,Sudan,1163.56,CAF,SDN,Sudan,2025-09-18
117.0,Niger,1160.33,CAF,NIG,Niger,2025-09-18
